"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"351070 Cardoso";786;787;730;763;849;946;910;860;808;864;871;802;671;520;443;299;320;12229
"351080 Casa Branca";1848;1811;1932;2170;2278;2531;2751;2407;1974;2012;1861;1653;1400;1038;777;569;780;29792
"351090 Cássia dos Coqueiros";155;153;177;179;220;171;198;158;179;174;195;154;152;98;84;67;86;2600
"351100 Castilho";1482;1464;1315;1476;1543;1585;1467;1535;1512;1380;1276;1082;890;667;486;350;395;19905
"351110 Catanduva";7056;7058;6825;7755;8709;9699;10166;9319;8527;8569;7993;7161;5994;4623;3456;2829;3443;119182
"351120 Catiguá";494;490;529;519;585;626;664;607;546;545;515;423;333;252;160;132;169;7589
"351130 Cedral";508;510;550;586;580;691;674;718;626;616;550;532;407;391;282;244;312;8777
"351140 Cerqueira César";1409;1409;1486;1424;1623;1582;1403;1350;1312;1201;1129;982;842;655;488;389;432;19116
"351150 Cerquilho";3008;2993;3032;3483;3430;4090;3975;3769;3241;3019;2787;2476;2029;1433;1004;742;839;45350
"351160 Cesário Lange";1285;1220;1207;1402;1362;1558;1510;1392;1234;1042;959;811;702;578;390;283;256;17191
"351170 Charqueada";1184;1165;1198;1289;1414;1538;1404;1233;1198;970;949;829;645;507;360;265;297;16445
"355720 Chavantes";923;891;862;975;950;914;998;920;880;806;742;696;583;455;340;237;246;12418
"351190 Clementina";651;643;618;571;706;898;768;576;460;442;430;347;268;221;137;123;165;8024
"351200 Colina";1147;1156;1231;1318;1429;1627;1539;1341;1240;1219;1220;1015;806;656;466;345;427;18182
"351210 Colômbia";423;409;427;475;554;546;522;497;451;395;381;320;252;201;156;91;82;6182
"351220 Conchal";2059;1948;2124;2299;2432;2602;2377;2014;1708;1684;1467;1258;1001;763;552;406;412;27106
"351230 Conchas";1311;1283;1243;1260;1249;1316;1271;1221;1112;1165;1145;1032;808;622;506;372;462;17378
"351240 Cordeirópolis";1611;1563;1710;1833;1865;2079;2012;1869;1666;1510;1338;1194;927;725;506;377;483;23268
"351250 Coroados";414;406;343;405;460;473;466;451;440;379;353;329;277;199;132;106;128;5761
"351260 Coronel Macedo";353;337;329;380;362;363;314;309;349;322;374;320;231;188;133;106;104;4874
"351270 Corumbataí";258;258;300;322;300;344;325;290;281;268;257;219;182;150;102;73;90;4019
"351280 Cosmópolis";5158;5081;5159;5283;5573;6145;6173;5558;4715;4338;3871;3080;2363;1702;1207;794;895;67095
"351290 Cosmorama";388;386;411;480;475;525;605;498;484;537;507;486;426;377;281;243;236;7345
"351300 Cotia";18271;17501;17873;19091;18545;19481;20881;19567;16932;15247;13278;11182;8470;5793;3610;2302;2621;230645
"351310 Cravinhos";2368;2295;2477;2716;2804;2954;2940;2599;2372;2241;2023;1885;1416;1057;744;560;630;34081
"351320 Cristais Paulista";570;548;608;607;686;713;711;618;545;505;548;502;383;250;183;134;152;8263
"351330 Cruzália";118;125;120;142;143;166;148;163;139;182;199;144;123;78;70;57;67;2184
"351340 Cruzeiro";5615;5520;5516;5943;6272;6491;6666;6354;5454;5289;5304;4754;3800;2818;1963;1469;1601;80829
"351350 Cubatão";9922;9656;10296;10517;10548;11220;11363;10226;8900;8627;7438;6039;4465;2921;2040;1353;1288;126819
"351360 Cunha";1372;1293;1546;1668;1833;1577;1602;1583;1610;1668;1487;1255;1016;829;692;443;448;21922
"351370 Descalvado";1996;1984;2034;2289;2484;2823;2852;2496;2390;2191;2154;1887;1575;1231;922;688;910;32906
"351380 Diadema";31286;30164;32174;34490;33287;36983;37508;34332;30830;27984;23291;19451;14908;10421;6327;4198;4122;411756
"351385 Dirce Reis";106;110;88;92;131;137;114;127;125;131;137;117;85;85;77;62;42;1766
"351390 Divinolândia";608;605;640;741;912;895;873;814;825;824;807;751;688;488;349;273;307;11400
"351400 Dobrada";724;712;725;771;743;825;819;669;515;475;427;330;277;219;139;104;114;8588
"351410 Dois Córregos";2057;2017;1894;1979;2121;2244;2252;2002;1744;1596;1492;1295;1064;890;626;516;692;26481
